defect_id,priority,status,area,owner,paths,finding,impact,root_cause,required_fix,required_validation,regression_guard
QA39-DEF-011,P0,실패,Verification False Green,QA/Tooling,cpf-tools/verification/qa38/verify-qa38-structure.py; cpf-tools/scripts/verify-qa38-starter-closure.ps1,"기존 Gate는 7개 미등록 Module, 내부 Classpath 오류, BOM literal version, Dead Bean을 놓치고 PASS했다.",실제 Build가 닫히지 않았는데 QA38_STATIC_VALIDATION_PASS가 생성된다.,하드코딩 required list와 파일 존재 중심 Substance 판정에 의존했다.,"Repository discovery 기반 module closure, FQN classpath, Bean consumer, generated POM 검증을 추가한다.",의도적 broken fixture로 각 Gate가 반드시 실패하는 Mutation Test,Fail-Always/False-Green/Self-Dirty 검증 스크립트 계약 테스트
QA39-DEF-012,P0,실패,Evidence Exact SHA,QA/Evidence,cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md; cpf-docs/work/manifest/CPF_QA38_PACKAGE_MANIFEST.json; cpf-tools/release/cpf-final-artifact-catalog.json,Evidence와 Package/Catalog의 QA38 SHA가 dafe5c0 또는 99fefc/R3 상태이며 최신 54bcc108 SHA가 아니다.,현재 Commit의 성공 Evidence로 사용할 수 없다.,Overlay 생성 시점 Evidence를 Push 후 exact SHA로 재생성하지 않았다.,Push 후 exact SHA에서 모든 Gate를 다시 실행해 immutable Evidence를 재발급한다.,"Evidence SHA=HEAD=origin/master, working tree, command, exit code, artifact hash 검증",Evidence의 SHA가 HEAD와 다르면 완료 상태 금지
QA39-DEF-013,P0,실패,Truth Matrix,Governance/QA,cpf-docs/quality/CPF_QA38_FINAL_REQUIREMENT_MATRIX.csv; cpf-docs/work/current/CPF_QA38_SELF_DEVELOPED_REQUIREMENTS.csv; cpf-docs/work/codex/qa38/REQUIREMENT_STATUS.csv,156개 Requirement의 development_status가 모두 완료지만 Source P0 결함과 Build 미실행이 존재한다.,개발 완료와 검증 완료가 사실과 불일치하며 후속 작업이 누락된다.,파일 생성/정적 Harness 통과를 Capability 완료로 환산했다.,Requirement→Source→Consumer→Test→Runtime→Evidence별 재판정하고 실패/부분 구현/미검증을 반영한다.,Truth Gate와 독립 Reviewer 샘플 역추적,필수 Evidence가 없으면 완료 값 입력 불가
QA39-DEF-014,P0,실패,Build/Publication,All Modules,cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,Java 25 Fresh Cache 전체 Gradle Build·Test·Publication을 실행하지 않았다.,현재 Compile Classpath·BOM 결함이 Push 전에 발견되지 않았다.,네트워크/Gradle 환경 차단 상태에서 정적 Harness를 완료 증적으로 사용했다.,실행 가능한 로컬 Repository에서 저비용 Gate 후 전체 Build/Test/Publication을 한 번 실행한다.,"Java 25 fresh cache, build --scan 대체 로그, publishToMavenLocal, external consumer",전체 Build 미실행 상태에서는 Source 완료만 가능하고 Project 완료 선언 금지
QA39-DEF-015,P1,부분 구현,Core-only Fixture,QA/Tooling,cpf-tools/verification/core-only-consumer/src/test/java/com/cpf/verification/CoreOnlyConsumerTest.java,테스트가 Class 이름 prefix만 확인하며 Core-only Application boot와 optional dependency 부재를 증명하지 않는다.,Core 경량성·AutoConfiguration 누수·Runtime Provider 강제 전이를 탐지하지 못한다.,Fixture를 실제 Consumer가 아니라 compile-time smoke로 축소했다.,"독립 Application, dependency lock, context boot, forbidden classpath assertion을 구현한다.",core-only clean build/test + dependency report,Spring/JDBC/Messaging/Provider class가 core-only runtimeClasspath에 있으면 실패
QA39-DEF-016,P1,부분 구현,Test Coverage,Starter Owners,18개 Runtime Leaf Module,Java Source가 있는 18개 Module에 자체 Test Source가 0개다.,정상·오류·경계·복구·부분 실패·다중 인스턴스 동작이 검증되지 않는다.,Source 파일 수를 구현 완료로 보고 Capability별 Scenario Matrix를 강제하지 않았다.,각 Leaf에 Unit+Context+Integration+Fault Test를 추가한다.,Module별 최소 Scenario Matrix와 Jacoco/Mutation 또는 명시적 경계 검증,Product Java가 있는 Leaf는 Test 0개 금지
QA39-DEF-017,P1,부분 구현,DB Lifecycle,DB/Starter Owners,cpf-starters/*/src/main/resources/db/*,신규 DB Pack은 대부분 V1 Install과 R1 Drop만 있고 이전 Version Upgrade·Reapply·Conflict 경로와 실제 실행 Evidence가 없다.,QA38-DB-007~010 완료 표시를 뒷받침하지 못한다.,SQL Shape Parity를 Lifecycle 성공으로 해석했다.,"Canonical migration history, previous-version fixture, upgrade/rollback/reapply/conflict Script와 3 Vendor 실행을 완성한다.",MariaDB/PostgreSQL/Oracle fresh→upgrade→rollback→reapply→conflict,실제 Vendor Exit 0 Evidence 없이는 DB lifecycle 완료 금지
QA39-DEF-018,P1,부분 구현,SFTP,Integration SFTP,cpf-starters/integration-sftp/src/main/java/com/cpf/starter/sftp,"Password 원문 Property, 승인된 Known-hosts 구현 부재, 설정만 보는 UP Health, ledgerRequired 미사용, Resume 충돌·Remote checksum·Lease recovery 미완성이다.",보안·재시도·대용량·부분 실패·운영 가시성이 상용 기준에 미달한다.,Happy-path Client와 JDBC 기록을 먼저 구현하고 운영 계약을 닫지 않았다.,"SecretRef/Key auth/KnownHosts, real readiness, offset-safe resume, remote checksum, unknown-result/reconcile, ledger optional/fail-closed 정책을 완성한다.",SFTP fixture + disconnect/response loss/process kill/multi-instance/large file,raw password property 및 unconditional UP health 금지
QA39-DEF-019,P1,부분 구현,TCP,Integration TCP,cpf-starters/integration-tcp/src/main/java/com/cpf/starter/tcp,Correlation Registry와 Reconnect Policy가 실제 Client 전송 흐름에 연결되지 않고 Unknown Result Store가 메모리 전용이다. Health는 항상 UP이며 TLS secret도 원문이다.,응답 역전·다중 인스턴스·재기동·Half-open·Reconciliation 요구가 성립하지 않는다.,Codec/Harness와 실제 Transport Lifecycle을 별도로 구현했다.,"Multiplex correlation, heartbeat/half-open, reconnect loop, persistent unknown ledger, endpoint identity, drain/metrics를 연결한다.",Toxiproxy response loss/reorder/delay/disconnect/process kill/multi-instance,사용되지 않는 Policy/Registry Bean과 in-memory-only unknown store 금지
QA39-DEF-020,P1,부분 구현,Notification Core,Notification,cpf-starters/notification/src/main/java/com/cpf/starter/notification,"CLAIMED lease 만료 재회수, process-kill recovery, 다중 인스턴스 locking, UNKNOWN_RESULT reconcile가 없다. Preference는 메모리 전용이고 variable_json은 실제 JSON이 아니다.",Worker 사망 시 메시지가 영구 CLAIMED되고 중복/유실/운영 재처리가 발생한다.,Outbox happy path와 Quiet Hours만 구현했다.,"Vendor-safe claim/lease/reaper, reconciliation ledger, persisted preference, canonical JSON, admin controls를 완성한다.","worker kill, lease expiry, duplicate, multi-instance, provider unknown, DLQ replay",Claim 상태에 lease recovery query가 없으면 실패
QA39-DEF-021,P1,부분 구현,Email,Notification Email,cpf-starters/notification-email/src/main/java/com/cpf/starter/notification/email,"SimpleMailMessage만 사용하며 Template rendering, HTML/Attachment, Bounce/DSN/Callback가 없다. SMTP 예외 UNKNOWN_RESULT를 Worker가 완료 처리한다.",QA38-INT-009 전체 요구를 충족하지 못하고 결과 불명확 메시지 재조정이 없다.,Provider accept 호출을 전송 완료로 단순화했다.,"Template/Attachment/HTML, delivery status callback, bounce mapping, unknown reconcile를 구현한다.",SMTP fixture accept/reject/timeout/bounce/attachment/duplicate,UNKNOWN_RESULT를 terminal complete로 처리 금지
QA39-DEF-022,P1,부분 구현,SMS SPI,Notification SMS,cpf-starters/notification-sms-spi/src/main/java/com/cpf/notification/sms,Idempotency와 Receipt 상태가 Process Memory Map에만 있고 Rate Limit·Callback authentication·Multi-instance 공유가 없다.,재기동과 Scale-out에서 중복 SMS와 결과 유실이 발생한다.,SPI 예시와 상용 Runtime 경계를 분리하지 않았다.,"SPI는 계약으로 유지하고 JDBC/Redis 기반 Dispatcher Runtime, rate/receipt/callback/reconcile를 별도 Starter로 구현한다.","multi-instance duplicate, restart, callback replay, provider timeout",상용 idempotency를 local map으로 구현 금지
QA39-DEF-023,P1,부분 구현,Resource Server Security,Security,cpf-starters/security-resource-server/src/main/java/com/cpf/starter/security/resource,audiences가 비어 있으면 Audience 검증이 전부 통과하고 clockSkew Property가 Decoder에 적용되지 않으며 Health가 실제 JWK 상태를 검사하지 않는다.,보안 설정이 fail-open이고 운영 Readiness가 부정확하다.,Typed Property와 실제 Validator/Health Consumer 연결을 끝내지 않았다.,"Audience 필수 정책, JwtTimestampValidator skew 적용, JWK cache/rotation/readiness를 구현한다.","wrong audience, expired/skew, issuer outage, key rotation",보안 핵심 목록 empty=allow-all 금지
QA39-DEF-024,P1,부분 구현,Service Identity,Security,cpf-starters/security-service-identity/src/main/java/com/cpf/starter/security/identity,HMAC Secret이 원문 Property이며 Nonce replay store가 없고 발급/검증 Audit·Key source rotation 계약이 없다.,Secret 노출과 재전송 공격을 차단하지 못한다.,Crypto 함수 검증을 서비스 신원 운영 완성으로 보았다.,"Secret Provider Reference, nonce replay cache/ledger, rotation/audit/readiness를 구현한다.","replay, previous key overlap, secret rotation, clock skew, restart/multi-instance",raw secret 필드와 replay store 없는 identity token 금지
QA39-DEF-025,P1,부분 구현,FTPS,Integration FTPS,cpf-starters/integration-ftps/src/main/java/com/cpf/starter/ftps,verifyHostname=true를 검증하지만 FTPSClient endpoint checking에 적용하지 않고 raw password를 사용한다. Test와 Build 등록도 없다.,설정상 검증된 것처럼 보이지만 Hostname 검증이 실제로 수행되지 않는다.,Property 존재를 Runtime 적용으로 오인했다.,"endpoint checking/SNI/trust policy, SecretRef, checksum/resume/fault test를 구현하고 정식 Project로 등록한다.",wrong hostname/untrusted cert/auth fail/response loss,보안 Property는 실제 API 호출 소비 검증 필수
QA39-DEF-026,P1,부분 구현,gRPC,Integration gRPC,cpf-starters/integration-grpc/src/main/java/com/cpf/starter/grpc,"Unary generic byte client만 있고 TLS material/authority, Streaming, Backpressure, Metadata policy, Status mapping Test가 없다. Build에도 미등록이다.",QA38-INT-005의 핵심 요구가 충족되지 않는다.,Deadline과 pending limit만 구현해 전체 Capability로 표시했다.,"Typed stub/SPI, TLS/mTLS, unary/server/client/bidi streaming, status/retry/unknown policy를 구현한다.",gRPC fixture deadline/status/stream cancel/backpressure/cert failure,Capability Matrix의 각 동사가 Test Scenario와 1:1 대응
QA39-DEF-027,P1,부분 구현,Object Storage,Integration Object Storage,cpf-starters/integration-object-storage-s3/src/main/java/com/cpf/starter/objectstorage,"Default credential chain 외 Secret policy, paginated list, multipart/resume, download size/checksum 검증, copy-delete 보상/unknown result가 없다. Build 미등록이다.",대용량·부분 실패·권한·재처리 요구를 충족하지 못한다.,기본 SDK CRUD를 상용 Object Storage Adapter 완료로 간주했다.,"Provider-neutral SPI, credentials ref, multipart/resume, checksum, pagination, move compensation를 구현한다.",S3-compatible fixture large object/timeout/partial copy/permission/duplicate,copy 후 delete 작업은 compensation/reconcile 없이 완료 금지
QA39-DEF-028,P1,부분 구현,SMB,Integration SMB,cpf-starters/integration-smb/src/main/java/com/cpf/starter/smb,"raw credential, 단순 path normalize, download 완료 후 size 검사, resume/checksum/unknown-result/recovery/Test가 없다. Build 미등록이다.",대용량 초과 파일이 먼저 저장되고 장애 시 부분 파일과 결과 불명이 남는다.,기본 파일 CRUD를 보안·복구 계약 없이 추가했다.,"SecretRef, bounded streaming, temp+atomic publish, checksum/resume/reconcile를 구현한다.",SMB fixture auth/path/large file/disconnect/process kill,제한 검사는 write 후가 아니라 streaming 중 수행
QA39-DEF-029,P1,부분 구현,SOAP,Integration SOAP,cpf-starters/integration-soap/src/main/java/com/cpf/starter/soap,timeout Property가 WebServiceTemplate transport에 적용되지 않고 WSDL contract/marshaller/Fault detail/WS-Security 실제 Adapter가 없다. Build 미등록이다.,QA38-INT-004를 충족하지 못하며 장애 시 typed fault와 timeout이 보장되지 않는다.,Interceptor 존재 검사만으로 WS-Security 완료 처리했다.,"WSDL generated client, marshaller, transport timeout, WS-Security SPI/implementation, typed fault를 구현한다.",WireMock SOAP fault/timeout/signature/certificate/contract drift,Property가 실제 Runtime setter에 연결되지 않으면 실패
QA39-DEF-030,P1,부분 구현,Webhook,Integration Webhook,cpf-starters/integration-webhook/src/main/java,"Module 미등록, signing-secret 원문 Environment, duplicate idempotency insert 처리 없음, retry scheduler/lease/reconcile 없음, HTTP non-2xx를 단순 FAILED 처리한다.",중복 요청·Unknown Result·재기동 복구와 Secret rotation이 성립하지 않는다.,Delivery ledger insert와 단일 HTTP 호출을 완료 단위로 보았다.,"SecretRef, idempotent enqueue, worker/lease/retry/DLQ/reconcile, callback policy를 구현한다.","duplicate, response loss, 429/500, process kill, secret rotation",직접 secret 문자열과 one-shot delivery 금지
QA39-DEF-031,P1,부분 구현,Realtime,Integration Realtime,cpf-starters/integration-realtime-webflux/src/main/java,SSE가 Long.MAX_VALUE retry를 사용하고 jitter/cancel/circuit/offset resume가 없으며 WebSocket reconnect/scale-out session registry/Test가 없다. Build 미등록이다.,장애 시 무한 재시도 폭주와 메시지 중복/유실 가능성이 있다.,Reactive API 사용을 backpressure/recovery 완성으로 간주했다.,"bounded retry+jitter, resume cursor, session registry, auth rotation, multi-instance broker를 구현한다.",disconnect/reconnect/token expiry/backpressure/scale-out,무한 retry 금지와 retry budget 필수
QA39-DEF-032,P1,부분 구현,Messaging Providers,Messaging,cpf-starters/messaging-rabbitmq; cpf-starters/messaging-jms; cpf-starters/messaging-ibm-mq; cpf-starters/messaging-kafka,Provider별 publish 골격은 있으나 consume/ack/redelivery/DLX/DLT/rebalance/reconnect/unknown reconcile와 자체 Test가 부족하거나 없다.,Provider-neutral 계약의 양방향 실행과 운영 제어를 증명하지 못한다.,Publisher Bean 존재를 Messaging Capability 완료로 환산했다.,각 Provider의 producer+consumer+reliability bridge+operations를 완성한다.,Broker fixture outage/duplicate/consumer kill/rebalance/DLQ/replay,Messaging Provider는 producer-only 완료 금지
QA39-DEF-033,P1,부분 구현,Quartz,Scheduler,cpf-starters/scheduler-quartz/src/main/java; cpf-starters/scheduler-quartz/build.gradle,"clustered=true를 설정하지만 JDBC JobStore, DataSource, 3 Vendor Quartz schema, node health/recovery/Test가 없다.",RAMJobStore 기본 동작에서 clustered 설정이 상용 Cluster 보장을 제공하지 않는다.,Quartz Properties 조립을 Scheduler Runtime 완료로 보았다.,"JDBC JobStore, schema lifecycle, cluster node/fencing/misfire/recovery/operations를 구현한다.","2-instance scheduler, process kill, misfire, DB outage, recovery",clustered=true이면 JobStoreTX/CMT와 DataSource 필수
QA39-DEF-034,P1,부분 구현,Package Boundary,Architecture,cpf-starters/*/src/main/java/com/cpf/core/common/**,물리 Owner는 Starter로 이동했지만 Package가 com.cpf.core.common.*로 유지돼 외부 Consumer가 Internal 구현을 Core 계약처럼 참조할 수 있다.,Public API/SPI/Internal 경계가 모호하고 향후 Artifact 분리가 Breaking Change가 된다.,호환성 보존과 Ownership 정리를 동시에 설계하지 않았다.,Public compatibility facade/deprecation과 starter.internal 구현 Package를 분리하고 금지 import Gate를 적용한다.,"jdeps/API compatibility, external consumer compile, forbidden internal imports",외부 Module의 starter internal package 직접 참조 금지
QA39-DEF-035,P1,미검증,Consumer Runtime,ADM/BZA/GW/BAT/Reference/Member,cpf-admin/build.gradle; cpf-biz-admin/build.gradle; cpf-gateway/build.gradle; cpf-batch/build.gradle; cpf-reference/build.gradle; cpf-member/build.gradle,"Dependency 연결은 추가됐지만 실제 Application boot, Route/OpenAPI, 기능 Consumer와 Optional removal 검증이 없다.",Starter를 추가했어도 실제 화면/Batch/Gateway 기능이 Bean을 소비하지 않을 수 있다.,build.gradle 의존성 추가를 Consumer migration 완료로 간주했다.,각 Consumer의 실제 Bean/Endpoint/Job/Screen 연결과 boot smoke를 구현한다.,각 Module clean boot/integration/OpenAPI/route/feature scenario,Consumer migration은 dependency line만으로 완료 금지
QA39-DEF-036,P1,미검증,Official DB Vendors,DB/QA,cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,Oracle·PostgreSQL·MariaDB 실제 Fresh/Upgrade/Rollback/Reapply가 최신 SHA에서 실행되지 않았다.,Vendor 의미 차이와 SQL Runtime 오류를 발견하지 못한다.,Static SQL parity를 실제 DB 검증과 혼동했다.,전용 Fresh QA Schema와 3 Vendor lifecycle를 실행하고 정리한다.,3 Vendor 명령/버전/시작·종료/exit/artifact hash Evidence,"MySQL/MSSQL/H2 증적 제외, 공식 3 Vendor 모두 성공해야 완료"
QA39-DEF-037,P1,미검증,Frontend/Operations,ADM/BZA,cpf-admin; cpf-biz-admin,이번 Commit은 Build dependency만 변경했으며 신규 Messaging/TCP/SFTP/Notification 운영 조회·승인·재처리 화면 연결을 증명하지 않는다.,Framework Runtime은 있어도 상용 운영도구 Acceptance가 닫히지 않는다.,Backend Starter 개발과 운영 Consumer를 별도 완료 축으로 관리하지 않았다.,"OpenAPI Generated Client와 실제 ADM/BZA 화면, 권한·감사·오류 상태를 연결한다.",npm ci/lint/typecheck/unit/build + Playwright 3 Browser,Backend capability 완료 시 운영 Consumer 필요 여부를 명시적으로 판정
QA39-DEF-038,P1,미검증,Supply Chain,Build/Release,cpf-tools/release/cpf-final-artifact-catalog.json; cpf-tools/build/platform-bom/build.gradle,"최신 SHA의 SBOM, Vulnerability, License, Artifact Hash, published artifact completeness 검증이 없다.",상용 배포와 감사 기준을 충족하지 못한다.,Source package hash를 Publication/Supply-chain Evidence로 대체했다.,전체 Publication 후 SBOM/License/Vulnerability/Hash Catalog를 생성한다.,모든 public artifact와 BOM에 대한 supply-chain Gate,Catalog artifact 수와 published artifact 수 불일치 시 실패
QA39-DEF-039,P1,부분 구현,Multi-GPT Apply,QA/Tooling,cpf-tools/scripts/apply-qa38-root-overlay.ps1; cpf-docs/work/current/CPF_QA38_APPLY_AND_VERIFY.md,R4는 앞선 과도한 충돌 차단을 제거하는 과정에서 겹치는 파일도 강제 덮어쓰는 방식이 됐다.,동시 작업자가 같은 Shared 파일을 수정하면 변경을 유실할 수 있어 Current-006 완료 조건과 충돌한다.,비중첩 허용과 중첩 3-way merge를 구분하지 못했다.,Base SHA blob hash 기반 preimage 검사와 exact overlapping path report/merge handoff를 구현한다.,"비중첩 변경 보존, 동일 파일 비충돌 hunk merge, 실제 충돌 fail-safe fixture","Working Tree 전체 차단도, 무조건 덮어쓰기도 금지"
