path,change_type,owner,requirement_scope,reason,sha256,delete_required
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfSpringBatchExecutionControl.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,reject deleted/cross-execution links and safely rescan metadata,f2560d74c61df4718c933db9b963e0565f87a1e23590e49a9d70c481532394d9,False
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcCpfBatchRemoteMessageLedger.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,persist/block durable UNKNOWN,7a1253f26f8faa22fc9ae155811d8df4e62b389677a9c989ca9bf601953b7929,False
cpf-batch/execution-runtime/src/test/java/com/cpf/batch/execution/CpfBatchKafkaInboundBridgeAttemptOwnerTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,async UNKNOWN and owner fencing regression,122c2a299b8ddd728bcc81c3af4655078417449fa1ff2bc7d90b1f92c0f0d42b,False
cpf-batch/execution-runtime/src/test/java/com/cpf/batch/execution/CpfBatchKafkaWorkerListenerAckBoundaryTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,durable UNKNOWN ACK regression,fb53da95c33d38be9c3dcd8b117d33f3a887b0015b1679ed0439ff35bb8c886a,False
cpf-batch/execution-runtime/src/test/java/com/cpf/batch/execution/CpfSpringBatchExecutionControlRecoveryTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,stale/cross-link reconcile regression,57057663b8fc6df2101d1f4fcf3920311cacac457e84370611038899ddd2f2ed,False
cpf-batch/execution-runtime/src/test/java/com/cpf/batch/execution/JdbcCpfBatchRemoteMessageLedgerTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,UNKNOWN reclaim/transition regression,fe6ce3280407af5d0a3f8421b796f79ffd166ea05ed85d6147bda51b2850e76c,False
cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentController.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,verify real service postcondition; preserve UNKNOWN/PARTIAL rollback,ff36f8e0725a3e2bdc5bb92ffaeb94f0f8604cc0a0974e0995aaeb68e521df68,False
cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/internal/ServiceManager.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,classify RUNNING/STOPPED/UNKNOWN explicitly,6b9ec8dcd74fbe4d97bd7c44aa20a5d6f2e17cf92d5a3ab3bef625c09f9147dc,False
cpf-batch/host-agent/src/test/java/com/cpf/batch/agent/AgentControllerServiceStateTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,service command false-green regression,8e40bd5d864fa6862e9768f2d8bcdf6ba6065fa79c1bc819c8077b797cab04c1,False
cpf-batch/host-agent/src/test/java/com/cpf/batch/agent/internal/ServiceManagerResultTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,status classification regression,9db8760fc60b06f7e9f5576f180e043678d97cbcf2f3d73aee0833a9002016c9,False
cpf-batch/scheduler/src/main/java/com/cpf/batch/scheduler/SchedulerDispatchService.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,Fail closed before automatic dispatch when vendor find or claim SQL includes UNKNOWN,744277d293d7b748c966e19333ea8e1867e7eac76823bef828d1b58a9d0eac27,False
cpf-batch/scheduler/src/test/java/com/cpf/batch/scheduler/SchedulerDispatchServiceUnknownPersistenceTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,Regression for UNKNOWN persistence plus unsafe find/claim SQL rejection,c90cb81c6731ecd7a52290781db1db5fb99af98de66fff05728f1cd9825bb7c1,False
