# method	path-template	operationId
POST	/api/bza/directory/job-titles	bzaDirectorySaveJobTitle
GET	/api/bza/directory/job-titles/page	bzaDirectoryFindJobTitlesPage
GET	/api/bza/directory/positions	bzaDirectoryFindPositions
POST	/api/bza/directory/positions	bzaDirectorySavePosition
GET	/api/bza/directory/positions/page	bzaDirectoryFindPositionsPage
GET	/api/bza/directory/responsibilities	bzaDirectoryFindResponsibilities
POST	/api/bza/directory/responsibilities	bzaDirectorySaveResponsibility
GET	/api/bza/directory/responsibilities/page	bzaDirectoryFindResponsibilitiesPage
GET	/api/bza/directory/user-roles	bzaDirectoryFindUserRoles
POST	/api/bza/directory/user-roles	bzaDirectorySaveUserRole
GET	/api/bza/directory/user-roles/page	bzaDirectoryFindUserRolesPage
GET	/api/bza/download-audits	bzaSupportFindDownloadAudits
GET	/api/bza/downloads	bzaOperationFindDownloadPolicies
GET	/api/bza/menus	bzaOperationFindMenus
POST	/api/bza/menus	bzaOperationSaveMenu
GET	/api/bza/menus/page	bzaOperationFindMenusPage
DELETE	/api/bza/menus/{menuCode}	bzaOperationDeleteMenu
GET	/api/bza/menus/{menuCode}/impact	bzaOperationFindMenuImpact
GET	/api/bza/notifications	bzaSupportFindNotifications
POST	/api/bza/notifications	bzaSupportCreateNotification
POST	/api/bza/notifications/read-all	bzaSupportReadAllNotifications
POST	/api/bza/notifications/{notificationId}/read	bzaSupportReadNotification
GET	/api/bza/permissions	bzaOperationFindPermissions
POST	/api/bza/permissions	bzaOperationSavePermission
GET	/api/bza/permissions/compare	bzaSupportCompareRolePermissions
GET	/api/bza/permissions/page	bzaOperationFindPermissionsPage
POST	/api/bza/permissions/simulate	bzaSupportSimulatePermission
GET	/api/bza/roles	bzaOperationFindRoles
POST	/api/bza/roles	bzaOperationSaveRole
GET	/api/bza/roles/page	bzaOperationFindRolesPage
GET	/api/bza/saved-searches	bzaSupportFindSavedSearches
POST	/api/bza/saved-searches	bzaSupportSaveSavedSearch
POST	/api/bza/saved-searches/{savedSearchId}/disable	bzaSupportDisableSavedSearch
GET	/api/bza/settings	bzaOperationFindSettings
