entity_id,entity_type,canonical_requirement_id,priority,work_type,axis,title,owner,owner_module,owner_package,dependencies,markdown_file,ledger_part,source_work_item_id,gap_decision,proposed_requirement_id
CPF-WP-ARCH-BOUNDARY-05-DATA_MIGRATION,WORK_PACKAGE,ARCH-BOUNDARY,P1,PRODUCT_IMPLEMENTATION,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-ARCH-BOUNDARY-05-DATA_MIGRATION,,
CPF-WP-ARCH-BOUNDARY-06-GENERATION_COMPATIBILITY,WORK_PACKAGE,ARCH-BOUNDARY,P1,PRODUCT_IMPLEMENTATION,GENERATION_COMPATIBILITY,생성·Artifact·호환성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-ARCH-BOUNDARY-06-GENERATION_COMPATIBILITY,,
CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,ARCH-LAYER,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,,
CPF-WP-ARCH-LAYER-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,ARCH-LAYER,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-ARCH-LAYER-02-IMPLEMENTATION_CONSUMER,,
CPF-WP-ARCH-LAYER-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,ARCH-LAYER,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP;CPF-WP-ARCH-LAYER-02-IMPLEMENTATION_CONSUMER,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-ARCH-LAYER-03-VERIFICATION_EVIDENCE,,
CPF-WP-ARCH-LAYER-04-GENERATION_COMPATIBILITY,WORK_PACKAGE,ARCH-LAYER,P1,PRODUCT_IMPLEMENTATION,GENERATION_COMPATIBILITY,생성·Artifact·호환성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-ARCH-LAYER-04-GENERATION_COMPATIBILITY,,
CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,CORE-API,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP,,
CPF-WP-CORE-API-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,CORE-API,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-API-02-IMPLEMENTATION_CONSUMER,,
CPF-WP-CORE-API-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,CORE-API,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-API-02-IMPLEMENTATION_CONSUMER,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-API-03-VERIFICATION_EVIDENCE,,
CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,CORE-SPI,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP,,
CPF-WP-CORE-SPI-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,CORE-SPI,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-SPI-02-IMPLEMENTATION_CONSUMER,,
CPF-WP-CORE-SPI-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,CORE-SPI,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-SPI-02-IMPLEMENTATION_CONSUMER,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-SPI-03-VERIFICATION_EVIDENCE,,
CPF-WP-CORE-SPI-04-GENERATION_COMPATIBILITY,WORK_PACKAGE,CORE-SPI,P1,PRODUCT_IMPLEMENTATION,GENERATION_COMPATIBILITY,생성·Artifact·호환성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-SPI-04-GENERATION_COMPATIBILITY,,
CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,CORE-CONFIG,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,,
CPF-WP-CORE-CONFIG-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,CORE-CONFIG,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-CONFIG-02-IMPLEMENTATION_CONSUMER,,
CPF-WP-CORE-CONFIG-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,CORE-CONFIG,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-CONFIG-02-IMPLEMENTATION_CONSUMER,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-CONFIG-03-VERIFICATION_EVIDENCE,,
CPF-WP-CORE-CONFIG-04-FAILURE_RECOVERY,WORK_PACKAGE,CORE-CONFIG,P1,PRODUCT_IMPLEMENTATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-CONFIG-04-FAILURE_RECOVERY,,
CPF-WP-CORE-CONFIG-05-OPERATIONS_SECURITY,WORK_PACKAGE,CORE-CONFIG,P1,PRODUCT_IMPLEMENTATION,OPERATIONS_SECURITY,보안·승인·감사·운영,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-CONFIG-05-OPERATIONS_SECURITY,,
CPF-WP-CORE-TESTKIT-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,CORE-TESTKIT,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-TESTKIT-01-CONTRACT_OWNERSHIP,,
CPF-WP-CORE-TESTKIT-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,CORE-TESTKIT,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-TESTKIT-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-TESTKIT-02-IMPLEMENTATION_CONSUMER,,
CPF-WP-CORE-TESTKIT-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,CORE-TESTKIT,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-TESTKIT-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-TESTKIT-02-IMPLEMENTATION_CONSUMER,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-TESTKIT-03-VERIFICATION_EVIDENCE,,
CPF-WP-CORE-TESTKIT-04-FAILURE_RECOVERY,WORK_PACKAGE,CORE-TESTKIT,P1,PRODUCT_IMPLEMENTATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CORE-TESTKIT-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,CPF-WP-CORE-TESTKIT-04-FAILURE_RECOVERY,,
CPF-WP-CPF-CALL-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,CPF-CALL,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-CALL-01-CONTRACT_OWNERSHIP,,
CPF-WP-CPF-CALL-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,CPF-CALL,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-CALL-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-CALL-02-IMPLEMENTATION_CONSUMER,,
CPF-WP-CPF-CALL-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,CPF-CALL,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-CALL-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-CALL-02-IMPLEMENTATION_CONSUMER,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-CALL-03-VERIFICATION_EVIDENCE,,
CPF-WP-CPF-CALL-04-FAILURE_RECOVERY,WORK_PACKAGE,CPF-CALL,P1,PRODUCT_IMPLEMENTATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-CALL-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-CALL-04-FAILURE_RECOVERY,,
CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,CPF-REGISTRY,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP,,
CPF-WP-CPF-REGISTRY-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,CPF-REGISTRY,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-REGISTRY-02-IMPLEMENTATION_CONSUMER,,
CPF-WP-CPF-REGISTRY-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,CPF-REGISTRY,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-REGISTRY-02-IMPLEMENTATION_CONSUMER,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-REGISTRY-03-VERIFICATION_EVIDENCE,,
CPF-WP-CPF-REGISTRY-04-FAILURE_RECOVERY,WORK_PACKAGE,CPF-REGISTRY,P1,PRODUCT_IMPLEMENTATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-REGISTRY-04-FAILURE_RECOVERY,,
CPF-WP-CPF-REGISTRY-05-OPERATIONS_SECURITY,WORK_PACKAGE,CPF-REGISTRY,P1,PRODUCT_IMPLEMENTATION,OPERATIONS_SECURITY,보안·승인·감사·운영,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-REGISTRY-05-OPERATIONS_SECURITY,,
CPF-WP-CPF-REGISTRY-06-GENERATION_COMPATIBILITY,WORK_PACKAGE,CPF-REGISTRY,P1,PRODUCT_IMPLEMENTATION,GENERATION_COMPATIBILITY,생성·Artifact·호환성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-REGISTRY-06-GENERATION_COMPATIBILITY,,
CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,CPF-ROUTING,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP,,
CPF-WP-CPF-ROUTING-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,CPF-ROUTING,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-ROUTING-02-IMPLEMENTATION_CONSUMER,,
CPF-WP-CPF-ROUTING-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,CPF-ROUTING,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-ROUTING-02-IMPLEMENTATION_CONSUMER,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-ROUTING-03-VERIFICATION_EVIDENCE,,
CPF-WP-CPF-ROUTING-04-FAILURE_RECOVERY,WORK_PACKAGE,CPF-ROUTING,P1,PRODUCT_IMPLEMENTATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-ROUTING-04-FAILURE_RECOVERY,,
CPF-WP-CPF-ROUTING-05-OPERATIONS_SECURITY,WORK_PACKAGE,CPF-ROUTING,P1,PRODUCT_IMPLEMENTATION,OPERATIONS_SECURITY,보안·승인·감사·운영,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-ROUTING-05-OPERATIONS_SECURITY,,
CPF-WP-CPF-ROUTING-06-GENERATION_COMPATIBILITY,WORK_PACKAGE,CPF-ROUTING,P1,PRODUCT_IMPLEMENTATION,GENERATION_COMPATIBILITY,생성·Artifact·호환성,cpf-core / repository architecture,cpf-core,repository architecture,CPF-WP-CPF-ROUTING-01-CONTRACT_OWNERSHIP,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-ROUTING-06-GENERATION_COMPATIBILITY,,
CPF-WP-CPF-HEALTH-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,CPF-HEALTH,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,cpf-core,repository architecture,,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,ledgers/11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01_WORK_ITEMS.csv,CPF-WP-CPF-HEALTH-01-CONTRACT_OWNERSHIP,,
