id,area,title,setup,expected
CPF-QA-EXEC-085,DB,MariaDB Mid failure,MariaDB: migration 중 connection kill,명확한 복구·silent skip 0
CPF-QA-EXEC-086,DB,MariaDB Deadlock timeout,MariaDB: 동시 transaction/deadlock/timeout,표준 error·bounded retry
CPF-QA-EXEC-087,DB,MariaDB Backup restore,MariaDB: encrypted backup을 새 환경 복원,checksum/RPO/RTO/readiness 충족
CPF-QA-EXEC-088,DB,PostgreSQL Fresh install,PostgreSQL: 빈 account/schema에서 provision→install→seed→verify,정본 schema/seed/query 성공
CPF-QA-EXEC-089,DB,PostgreSQL Upgrade,PostgreSQL: 지원 이전 baseline+실제 data에서 migration,data/constraint/checksum 정확
CPF-QA-EXEC-090,DB,PostgreSQL Rollback or recovery,PostgreSQL: 지원 migration rollback/forward recovery,binary/schema policy 일치
CPF-QA-EXEC-091,DB,PostgreSQL Reapply,PostgreSQL: rollback 후 재적용,idempotent·최종 schema 일치
CPF-QA-EXEC-092,DB,PostgreSQL Runtime query,PostgreSQL: 모든 registered query prepare/execute,parameter/result/dialect 성공
CPF-QA-EXEC-093,DB,PostgreSQL Mid failure,PostgreSQL: migration 중 connection kill,명확한 복구·silent skip 0
CPF-QA-EXEC-094,DB,PostgreSQL Deadlock timeout,PostgreSQL: 동시 transaction/deadlock/timeout,표준 error·bounded retry
CPF-QA-EXEC-095,DB,PostgreSQL Backup restore,PostgreSQL: encrypted backup을 새 환경 복원,checksum/RPO/RTO/readiness 충족
CPF-QA-EXEC-096,DB,Oracle Fresh install,Oracle: 빈 account/schema에서 provision→install→seed→verify,정본 schema/seed/query 성공
CPF-QA-EXEC-097,DB,Oracle Upgrade,Oracle: 지원 이전 baseline+실제 data에서 migration,data/constraint/checksum 정확
CPF-QA-EXEC-098,DB,Oracle Rollback or recovery,Oracle: 지원 migration rollback/forward recovery,binary/schema policy 일치
CPF-QA-EXEC-099,DB,Oracle Reapply,Oracle: rollback 후 재적용,idempotent·최종 schema 일치
CPF-QA-EXEC-100,DB,Oracle Runtime query,Oracle: 모든 registered query prepare/execute,parameter/result/dialect 성공
CPF-QA-EXEC-101,DB,Oracle Mid failure,Oracle: migration 중 connection kill,명확한 복구·silent skip 0
CPF-QA-EXEC-102,DB,Oracle Deadlock timeout,Oracle: 동시 transaction/deadlock/timeout,표준 error·bounded retry
CPF-QA-EXEC-103,DB,Oracle Backup restore,Oracle: encrypted backup을 새 환경 복원,checksum/RPO/RTO/readiness 충족
CPF-QA-EXEC-104,ADM,Session issue DB down,session insert fault,token 미반환·503
CPF-QA-EXEC-105,ADM,Session lookup DB down,인증 요청 중 DB fault,401/empty 아닌 503
CPF-QA-EXEC-106,ADM,Permission DB down,api/menu/button query fault,default allow 0
CPF-QA-EXEC-107,ADM,Unregistered API,manifest 없는 ADM API,기본 거부
CPF-QA-EXEC-108,ADM,Account suspend revoke,활성 session 후 SUSPENDED,모든 instance 즉시 거부
CPF-QA-EXEC-109,ADM,Role change revoke,활성 session 후 role 변경,stale role 0
CPF-QA-EXEC-110,ADM,Password reset revoke,활성 session 후 reset,기존 session 거부
CPF-QA-EXEC-111,ADM,Concurrent failed login,동일 계정 N개 잘못된 요청,정확한 count·lock
CPF-QA-EXEC-112,ADM,Create response loss,commit 후 응답 유실·동일 operationId retry,중복 row 0
CPF-QA-EXEC-113,ADM,Create payload conflict,동일 operationId 다른 payload,409
CPF-QA-EXEC-114,ADM,Role update race,동일 expectedVersion 동시 변경,한 요청만 성공
CPF-QA-EXEC-115,ADM,Raw PII audit fault,audit DB down,원문 반환 0
CPF-QA-EXEC-116,ADM,Raw PII zeroization,modal close/route/logout/error,DOM/state/storage 원문 0
CPF-QA-EXEC-117,ADM,Bootstrap rerun,초기 생성 후 재실행,credential/role 변경 0
CPF-QA-EXEC-118,ADM,MFA bypass,고위험 API without MFA,거부
CPF-QA-EXEC-119,ADM,Approval self-approve,requester=approver,거부
CPF-QA-EXEC-120,ADM,Approval unknown,owner command response loss,SUCCESS 자동 처리 금지
CPF-QA-EXEC-121,ADM,Break-glass expiry,TTL 경과,자동 회수·review
CPF-QA-EXEC-122,BZA,Login same operation concurrent,동일 operationId 10개 동시 요청,안전한 단일 결과 의미
CPF-QA-EXEC-123,BZA,Login payload conflict,같은 operationId 다른 fingerprint,409
CPF-QA-EXEC-124,BZA,Login response loss,commit 뒤 응답 유실,result recovery·중복 session 0
CPF-QA-EXEC-125,BZA,Refresh response loss,old revoke/new insert 후 유실,operation result 복구
CPF-QA-EXEC-126,BZA,Refresh concurrent reuse,같은 token 2개 동시,1 success·reuse detection
CPF-QA-EXEC-127,BZA,Account state revoke,ACTIVE→SUSPENDED,access/refresh 즉시 거부
CPF-QA-EXEC-128,BZA,Permission change,같은 access token으로 변경 전후 호출,현재 DB 권한 반영
CPF-QA-EXEC-129,BZA,Failure DB down,login failure history DB fault,정상 401 위장 금지
CPF-QA-EXEC-130,BZA,Approval ALL,3명 모두 승인,마지막 전 완료 금지
CPF-QA-EXEC-131,BZA,Approval ANY,3명 중 1명 승인,terminal 정확
CPF-QA-EXEC-132,BZA,Approval N_OF_M,5명 중 3명 동시 승인,중복/race 정확
CPF-QA-EXEC-133,BZA,Delegation expiry,위임 전/중/후,유효기간 준수
CPF-QA-EXEC-134,BZA,Raw employee audit down,raw 조회 중 audit fault,원문 0
CPF-QA-EXEC-135,BZA,Browser zeroization,raw 조회 후 unmount/error,원문 0
CPF-QA-EXEC-136,GWY,A down B failover,"target A connection refused, B healthy",정책 내 B 성공
CPF-QA-EXEC-137,GWY,General 400,downstream 400,retry 0
CPF-QA-EXEC-138,GWY,429 Retry-After,429+Retry-After,budget 내 준수
CPF-QA-EXEC-139,GWY,POST response loss,downstream commit 후 reset,UNKNOWN·blind retry 금지
CPF-QA-EXEC-140,GWY,Header spoof,외부 internal gateway header 주입,내부값 재생성
CPF-QA-EXEC-141,GWY,Fake auth header,검증 안 된 Authorization 존재,authenticated로 처리 안 함
CPF-QA-EXEC-142,GWY,SSRF route,private IP/redirect/DNS rebinding,registry 밖 접근 차단
CPF-QA-EXEC-143,GWY,Header/path mismatch,URI/header 불일치와 우회 param,외부 우회 불가
CPF-QA-EXEC-144,GWY,Large upload/download,대용량 streaming,bounded memory·backpressure
CPF-QA-EXEC-145,GWY,Atomic route apply,2 Gateway 중 1개 실패,partial 표시·rollback
CPF-QA-EXEC-146,GWY,Startup route store down,route load 불가 기동,readiness down
CPF-QA-EXEC-147,GWY,Weighted canary,90:10 설정 후 충분한 요청,허용 오차 내 분배
CPF-QA-EXEC-148,GWY,Drain target,inflight 중 drain,신규 선택 중단·기존 완료
CPF-QA-EXEC-149,GWY,Gateway restart,route v2 후 한 instance restart,v2 재동기화
CPF-QA-EXEC-150,GWY,CORS credential,미허용 origin credential 요청,거부
CPF-QA-EXEC-151,GWY,mTLS rotation,old/new cert grace,연속성·old retire
CPF-QA-EXEC-152,BAT,Scheduler duplicate prevention,scheduler 2개 due poll,실행 1건
CPF-QA-EXEC-153,BAT,Scheduler lease loss,primary claim 후 종료,secondary takeover·stale fencing 차단
CPF-QA-EXEC-154,BAT,Worker pre-execution crash,dispatch 전 crash,안전 redelivery
CPF-QA-EXEC-155,BAT,Worker mid-execution unknown,business commit 후 ack loss,UNKNOWN·blind retry 금지
CPF-QA-EXEC-156,BAT,Checkpoint restart,chunk 중 process kill,last commit 이후 resume
CPF-QA-EXEC-157,BAT,Skip threshold,허용 오류 threshold 초과,job fail/stop
CPF-QA-EXEC-158,BAT,Pause resume,대량 job 중 pause,신규 claim 중단·resume
CPF-QA-EXEC-159,BAT,Cancel drain,inflight item 존재 cancel,정책대로 종료/unknown
CPF-QA-EXEC-160,BAT,Ghost detection,RUNNING+expired heartbeat,ghost 후보 정확
CPF-QA-EXEC-161,BAT,Lock force release,active owner 존재,승인 없이 차단
CPF-QA-EXEC-162,BAT,CenterCut duplicate claim,runner 2개 동시 claim,item 1회
CPF-QA-EXEC-163,BAT,Global TPS,runner 2개 합산 limit,limit 준수
CPF-QA-EXEC-164,BAT,Failed-only reprocess,success/fail/unknown 혼합,fail만 재처리
CPF-QA-EXEC-165,BAT,Unknown reconciliation,외부 상태 success 확인,중복 실행 0
CPF-QA-EXEC-166,BAT,Approved shell,catalog 없는 command,차단
CPF-QA-EXEC-167,BAT,File watch partial,upload 진행 중 감지,stable 후 1회
CPF-QA-EXEC-168,BAT,Agent takeover,primary agent down,secondary fencing takeover
CPF-QA-EXEC-169,BAT,BAT DB restore,backup restore 후 pending/running,중복 없이 recovery
CPF-QA-EXEC-170,GEN,LNG create,LNG 임의 domain 생성,하드코딩 없는 표준 tree
CPF-QA-EXEC-171,GEN,LNG bootstrap,LNG DB bootstrap,canonical template
CPF-QA-EXEC-172,GEN,LNG build,LNG standalone clean test bootJar bootWar,artifact contract 성공
CPF-QA-EXEC-173,GEN,LNG runtime,LNG local/remote API 실행,header/error/idempotency/db 정상
CPF-QA-EXEC-174,GEN,LNG remove-regenerate,LNG 삭제 후 동일 입력 재생성,normalized parity
CPF-QA-EXEC-175,GEN,LNG runtime-agent,LNG instance registration/change apply,RTC 계약 준수
CPF-QA-EXEC-176,GEN,ING create,ING 임의 domain 생성,하드코딩 없는 표준 tree
CPF-QA-EXEC-177,GEN,ING bootstrap,ING DB bootstrap,canonical template
CPF-QA-EXEC-178,GEN,ING build,ING standalone clean test bootJar bootWar,artifact contract 성공
CPF-QA-EXEC-179,GEN,ING runtime,ING local/remote API 실행,header/error/idempotency/db 정상
CPF-QA-EXEC-180,GEN,ING remove-regenerate,ING 삭제 후 동일 입력 재생성,normalized parity
CPF-QA-EXEC-181,GEN,ING runtime-agent,ING instance registration/change apply,RTC 계약 준수
CPF-QA-EXEC-182,SEC-HYG,Secret scan,test secret commit,CI 차단
CPF-QA-EXEC-183,SEC-HYG,Critical dependency,취약 dependency fixture,release 차단
CPF-QA-EXEC-184,SEC-HYG,Unpinned workflow,mutable action tag,security gate 차단
CPF-QA-EXEC-185,SEC-HYG,Audit tamper,중간 audit row 변경,chain failure alert
CPF-QA-EXEC-186,SEC-HYG,PII log,민감 payload error,원문 0
CPF-QA-EXEC-187,SEC-HYG,Zip bomb,고압축 archive,차단
CPF-QA-EXEC-188,SEC-HYG,Path traversal,../ 및 symlink,root 밖 접근 차단
CPF-QA-EXEC-189,SEC-HYG,OIDC invalid issuer,다른 issuer token,거부
CPF-QA-EXEC-190,SEC-HYG,JWT retired key,grace 후 old key token,거부
CPF-QA-EXEC-191,SEC-HYG,Break-glass misuse,scope/TTL 밖,거부·alert
CPF-QA-EXEC-192,SEC-HYG,Metric cardinality,고유 ID label 대량,보호
CPF-QA-EXEC-193,SEC-HYG,Log spool full,remote down+disk full,명시적 loss/backpressure alert
CPF-QA-EXEC-194,SEC-HYG,Incident flow,critical alert,incident→runbook→audit
CPF-QA-EXEC-195,SEC-HYG,Cleanup dry-run,dirty WIP repo,삭제 없이 preview
CPF-QA-EXEC-196,SEC-HYG,Cleanup apply,approved manifest,allowlist만 삭제
CPF-QA-EXEC-197,SEC-HYG,Cleanup rollback,apply 후 restore,hash 복구
CPF-QA-EXEC-198,SEC-HYG,Cleanup repeat,apply 2회,안전 no-op
CPF-QA-EXEC-199,SEC-HYG,Stale evidence,없는 파일 참조,link gate 실패
CPF-QA-EXEC-200,SEC-HYG,Dead SQL,consumer 없는 query,orphan gate 실패
CPF-QA-EXEC-201,SEC-HYG,Dead public SPI,consumer/test 없는 interface,quality gate 실패
